class,Attr3320,Attr6281,Attr804,Attr6184,Attr1962,Attr1829,Attr2121,Attr1674,Attr6677,Attr2363,Attr4847,Attr2439,Attr1087,Attr5984,Attr1882,Attr2111,Attr6347,Attr770,Attr5772,Attr3012,Attr1745,Attr3784,Attr3341,Attr6797,Attr6803,Attr3647,Attr1144,Attr7119,Attr4973,Attr4196
1,-0.220595,0.749782,0.541643,0.408718,0.257098,-0.714318,-0.604218,-0.831279,-0.378033,-0.944004,-0.661837,1.20838,-0.428808,0.154594,-0.504374,-0.997159,2.41914,-1.49076,0.282473,-0.887425,-0.590146,-0.557205,-0.171669,-0.680772,-0.848447,-2.30751,-0.000996,1.08633,1.1624,-1.05983
1,-0.408508,-0.099772,-0.079822,-0.163314,0.030359,-0.192467,-0.293615,1.04445,-0.672324,-0.086804,-0.667077,-0.676527,-0.310982,0.007397,-0.327348,1.10518,-0.835864,0.343471,-0.812226,-0.886608,-0.280799,-0.566469,-0.286596,0.245112,0.056059,-0.846367,0.534197,-0.593272,-0.208466,0.008703
1,-0.015344,0.322379,1.49521,0.845823,-0.813048,-0.877052,-0.121384,-0.796445,0.50425,-0.971744,-0.6691,-0.161472,0.475936,0.186647,-0.516731,-1.28755,0.253612,-1.66695,0.831413,-1.15558,-0.96515,0.49627,0.673574,-0.149671,-0.122842,-2.0317,2.02583,-0.407801,-1.16287,-0.986148
1,-0.423074,0.379488,-0.012533,0.509054,2.195,-0.349703,-0.712532,-0.56639,0.207107,-0.449502,-0.383181,0.78401,0.294984,0.029181,-0.604415,-0.860332,0.396707,-0.396908,1.46889,-0.311491,0.184016,-0.226615,-0.327019,-0.593958,-0.550678,-0.618918,-0.30018,-0.260879,0.875066,-0.966607
1,-0.546663,0.849345,-0.395435,0.337293,1.67664,0.069398,-0.692148,-0.265192,-1.38768,0.426057,-0.420005,0.551514,1.52768,0.359131,-0.577211,-0.20985,0.413373,0.026507,0.385429,0.453441,-0.184782,1.87241,-1.07085,0.024584,-0.066341,-0.23188,-0.242407,-0.576936,1.4909,1.57688
1,-0.527014,0.020094,0.476815,1.61161,-0.755564,-0.732004,-0.43353,-0.767445,0.481847,-0.896146,-0.626451,-0.572504,-0.411732,0.667296,-0.339436,-1.26471,-0.214945,-1.74348,0.296857,-0.44109,-0.535866,0.023979,0.134634,-0.01604,-0.128933,-0.600914,2.25046,0.410213,-0.221841,-0.884298
1,-0.261331,-0.206691,0.440547,1.92858,1.38389,-0.24752,-0.07306,-0.9869,0.445676,-0.423158,-0.76256,-0.084384,0.84937,-0.193151,-0.584201,-1.02369,0.070197,-0.598853,0.642716,-0.904241,-0.542944,0.159106,-0.307096,-0.628738,-0.590074,0.159941,-0.334498,-0.542422,-0.600293,-0.955245
1,0.523796,-0.360325,0.657472,1.35509,-0.06126,-1.2218,-0.368266,-0.441669,0.503363,-1.07833,-0.922927,0.427001,0.726167,-0.68408,-0.586408,-0.446094,0.633071,-0.85931,1.08006,-0.784698,-0.640702,0.672451,-0.911094,-0.406691,-0.36474,-2.45075,0.184719,-0.490341,1.12953,-1.04071
1,-0.655545,1.65138,2.0613,-0.585031,-0.000159,0.089708,-0.143726,-0.329927,0.223085,0.117503,-1.01329,-0.74091,0.307497,1.71586,-0.515508,-0.320043,-0.240493,-0.092147,0.506947,0.14657,-0.844228,0.544727,-1.49922,-0.328597,-0.270796,-0.933878,3.79036,0.960384,0.292861,-0.876502
1,-0.146853,1.55228,0.987127,0.465251,-0.608021,-0.906874,-0.431831,-0.934018,-0.335993,-0.682096,-0.505337,-0.708906,0.779772,0.107546,-0.459045,-0.620419,-0.525513,-1.38832,-0.496381,-0.291167,-0.804795,-0.902844,-0.114091,-0.497318,-0.321957,0.118936,2.32742,-0.245852,-1.2572,-0.730224
